DATE,CO2
01/10/1991,356.72
01/11/1991,357.81
01/12/1991,359.15
01/01/1992,359.66
01/02/1992,359.25
01/03/1992,357.03
01/04/1992,355
01/05/1992,353.01
01/06/1992,353.31
01/07/1992,354.16
01/08/1992,355.4
01/09/1992,356.7
01/10/1992,357.16
01/11/1992,358.38
01/12/1992,359.46
01/01/1993,360.28
01/02/1993,359.6
01/03/1993,357.57
01/04/1993,355.52
01/05/1993,353.7
01/06/1993,353.98
01/07/1993,355.33
01/08/1993,356.8
01/09/1993,358.36
01/10/1993,358.91
01/11/1993,359.97
01/12/1993,361.26
01/01/1994,361.68
01/02/1994,360.95
01/03/1994,359.55
01/04/1994,357.49
01/05/1994,355.84
01/06/1994,355.99
01/07/1994,357.58
01/08/1994,359.04
01/09/1994,359.96
01/10/1994,361
01/11/1994,361.64
01/12/1994,363.45
01/01/1995,363.79
01/02/1995,363.26
01/03/1995,361.9
01/04/1995,359.46
01/05/1995,358.06
01/06/1995,357.75
01/07/1995,359.56
01/08/1995,360.7
01/09/1995,362.05
01/10/1995,363.25
01/11/1995,364.03
01/12/1995,364.72
01/01/1996,365.41
01/02/1996,364.97
01/03/1996,363.65
01/04/1996,361.49
01/05/1996,359.46
01/06/1996,359.6
01/07/1996,360.76
01/08/1996,362.33
01/09/1996,363.18
01/10/1996,364
01/11/1996,364.57
01/12/1996,366.35
01/01/1997,366.79
01/02/1997,365.62
01/03/1997,364.47
01/04/1997,362.51
01/05/1997,360.19
01/06/1997,360.77
01/07/1997,362.43
01/08/1997,364.28
01/09/1997,365.32
01/10/1997,366.15
01/11/1997,367.31
01/12/1997,368.61
01/01/1998,369.29
01/02/1998,368.87
01/03/1998,367.64
01/04/1998,365.77
01/05/1998,363.9
01/06/1998,364.23
01/07/1998,365.46
01/08/1998,366.97
01/09/1998,368.15
01/10/1998,368.87
01/11/1998,369.59
01/12/1998,371.14
01/01/1999,371
01/02/1999,370.35
01/03/1999,369.27
01/04/1999,366.94
01/05/1999,364.63
01/06/1999,365.12
01/07/1999,366.67
01/08/1999,368.01
01/09/1999,369.14
01/10/1999,369.46
01/11/1999,370.52
01/12/1999,371.66
01/01/2000,371.82
01/02/2000,371.7
01/03/2000,370.12
01/04/2000,368.12
01/05/2000,366.62
01/06/2000,366.73
01/07/2000,368.29
01/08/2000,369.53
01/09/2000,370.28
01/10/2000,371.5
01/11/2000,372.12
01/12/2000,372.87
01/01/2001,374.02
01/02/2001,373.3
01/03/2001,371.62
01/04/2001,369.55
01/05/2001,367.96
01/06/2001,368.09
01/07/2001,369.68
01/08/2001,371.24
01/09/2001,372.43
01/10/2001,373.09
01/11/2001,373.52
01/12/2001,374.86
01/01/2002,375.55
01/02/2002,375.4
01/03/2002,374.02
01/04/2002,371.49
01/05/2002,370.71
01/06/2002,370.24
01/07/2002,372.08
01/08/2002,373.78
01/09/2002,374.68
01/10/2002,375.63
01/11/2002,376.11
01/12/2002,377.65
01/01/2003,378.35
01/02/2003,378.13
01/03/2003,376.62
01/04/2003,374.5
01/05/2003,372.99
01/06/2003,373
01/07/2003,374.35
01/08/2003,375.7
01/09/2003,376.79
01/10/2003,377.37
01/11/2003,378.41
01/12/2003,380.52
01/01/2004,380.63
01/02/2004,379.57
01/03/2004,377.79
01/04/2004,375.86
01/05/2004,374.06
01/06/2004,374.24
01/07/2004,375.86
01/08/2004,377.48
